Roll = 0.978004, Pitch = 0.190771, Yaw = 172.198550
Roll = 0.978004, Pitch = 0.190771, Yaw = 172.198550
Roll = 0.980329, Pitch = 0.184121, Yaw = 172.197665
Roll = 0.980329, Pitch = 0.184121, Yaw = 172.197665
Roll = 0.982066, Pitch = 0.179071, Yaw = 172.196658
Roll = 0.982066, Pitch = 0.179071, Yaw = 172.196658
Roll = 0.983473, Pitch = 0.173666, Yaw = 172.195666
Roll = 0.983473, Pitch = 0.173666, Yaw = 172.195666
Roll = 0.987969, Pitch = 0.169200, Yaw = 172.193347
Roll = 0.987969, Pitch = 0.169200, Yaw = 172.193347
Roll = 0.981404, Pitch = 0.172622, Yaw = 172.195834
Roll = 0.981404, Pitch = 0.172622, Yaw = 172.195834
Roll = 0.975686, Pitch = 0.176173, Yaw = 172.198199
Roll = 0.975686, Pitch = 0.176173, Yaw = 172.198199
Roll = 0.973898, Pitch = 0.172074, Yaw = 172.199100
Roll = 0.973898, Pitch = 0.172074, Yaw = 172.199100
Roll = 0.975006, Pitch = 0.173272, Yaw = 172.197650
Roll = 0.975006, Pitch = 0.173272, Yaw = 172.197650
Roll = 0.978009, Pitch = 0.177823, Yaw = 172.195605
Roll = 0.978009, Pitch = 0.177823, Yaw = 172.195605
Roll = 0.981149, Pitch = 0.181306, Yaw = 172.192950
Roll = 0.981149, Pitch = 0.181306, Yaw = 172.192950
Roll = 0.985454, Pitch = 0.175986, Yaw = 172.190570
Roll = 0.985454, Pitch = 0.175986, Yaw = 172.190570
Roll = 0.984534, Pitch = 0.171066, Yaw = 172.191501
Roll = 0.984534, Pitch = 0.171066, Yaw = 172.191501
Roll = 0.981477, Pitch = 0.166966, Yaw = 172.193454
Roll = 0.981477, Pitch = 0.166966, Yaw = 172.193454
Roll = 0.980401, Pitch = 0.162525, Yaw = 172.194232
Roll = 0.980401, Pitch = 0.162525, Yaw = 172.194232
Roll = 0.978911, Pitch = 0.157937, Yaw = 172.194995
Roll = 0.978911, Pitch = 0.157937, Yaw = 172.194995
Roll = 0.976991, Pitch = 0.152570, Yaw = 172.196963
Roll = 0.976991, Pitch = 0.152570, Yaw = 172.196963
Roll = 0.982495, Pitch = 0.152888, Yaw = 172.193439
Roll = 0.982495, Pitch = 0.152888, Yaw = 172.193439
Roll = 0.986843, Pitch = 0.150629, Yaw = 172.190799
Roll = 0.986843, Pitch = 0.150629, Yaw = 172.190799
Roll = 0.987747, Pitch = 0.146382, Yaw = 172.190555
Roll = 0.987747, Pitch = 0.146382, Yaw = 172.190555
Roll = 0.993577, Pitch = 0.145797, Yaw = 172.186297
Roll = 0.993577, Pitch = 0.145797, Yaw = 172.186297
Roll = 0.998681, Pitch = 0.144084, Yaw = 172.183047
Roll = 0.998681, Pitch = 0.144084, Yaw = 172.183047
Roll = 1.002306, Pitch = 0.141530, Yaw = 172.180759
Roll = 1.002306, Pitch = 0.141530, Yaw = 172.180759
Roll = 1.001116, Pitch = 0.136002, Yaw = 172.174945
Roll = 1.001116, Pitch = 0.136002, Yaw = 172.174945
Roll = 1.000331, Pitch = 0.133275, Yaw = 172.155322
Roll = 1.000331, Pitch = 0.133275, Yaw = 172.155322
Roll = 1.000588, Pitch = 0.124938, Yaw = 172.205447
Roll = 1.000588, Pitch = 0.124938, Yaw = 172.205447
Roll = 1.003651, Pitch = 0.115205, Yaw = 172.172565
Roll = 1.003651, Pitch = 0.115205, Yaw = 172.172565
Roll = 0.996065, Pitch = 0.113422, Yaw = 171.938403
Roll = 0.996065, Pitch = 0.113422, Yaw = 171.938403
Roll = 0.991937, Pitch = 0.104882, Yaw = 171.601489
Roll = 0.991937, Pitch = 0.104882, Yaw = 171.601489
Roll = 0.987335, Pitch = 0.105141, Yaw = 171.330997
Roll = 0.987335, Pitch = 0.105141, Yaw = 171.330997
Roll = 0.983792, Pitch = -0.028860, Yaw = 171.034091
Roll = 0.983792, Pitch = -0.028860, Yaw = 171.034091
Roll = 0.975858, Pitch = -0.456817, Yaw = 170.695239
Roll = 0.975858, Pitch = -0.456817, Yaw = 170.695239
Roll = 0.988367, Pitch = -0.996440, Yaw = 170.286273
Roll = 0.988367, Pitch = -0.996440, Yaw = 170.286273
Roll = 0.913487, Pitch = -1.546742, Yaw = 169.848559
Roll = 0.913487, Pitch = -1.546742, Yaw = 169.848559
Roll = 0.763041, Pitch = -2.157726, Yaw = 169.479724
Roll = 0.763041, Pitch = -2.157726, Yaw = 169.479724
Roll = 0.462378, Pitch = -2.890284, Yaw = 169.195132
Roll = 0.462378, Pitch = -2.890284, Yaw = 169.195132
Roll = 0.031565, Pitch = -3.768686, Yaw = 168.922320
Roll = 0.031565, Pitch = -3.768686, Yaw = 168.922320
Roll = -0.423536, Pitch = -4.603574, Yaw = 168.610171
Roll = -0.423536, Pitch = -4.603574, Yaw = 168.610171
Roll = -0.769528, Pitch = -5.341669, Yaw = 168.319003
Roll = -0.769528, Pitch = -5.341669, Yaw = 168.319003
Roll = -1.089063, Pitch = -6.001101, Yaw = 168.105700
Roll = -1.089063, Pitch = -6.001101, Yaw = 168.105700
Roll = -1.383058, Pitch = -6.581766, Yaw = 167.967990
Roll = -1.383058, Pitch = -6.581766, Yaw = 167.967990
Roll = -1.644992, Pitch = -7.074335, Yaw = 167.938861
Roll = -1.644992, Pitch = -7.074335, Yaw = 167.938861
Roll = -1.805959, Pitch = -7.505818, Yaw = 167.996219
Roll = -1.805959, Pitch = -7.505818, Yaw = 167.996219
Roll = -1.903519, Pitch = -7.948072, Yaw = 168.112399
Roll = -1.903519, Pitch = -7.948072, Yaw = 168.112399
Roll = -1.970152, Pitch = -8.440825, Yaw = 168.274905
Roll = -1.970152, Pitch = -8.440825, Yaw = 168.274905
Roll = -2.022439, Pitch = -8.989074, Yaw = 168.469745
Roll = -2.022439, Pitch = -8.989074, Yaw = 168.469745
Roll = -2.075411, Pitch = -9.591849, Yaw = 168.684176
Roll = -2.075411, Pitch = -9.591849, Yaw = 168.684176
Roll = -2.127680, Pitch = -10.248756, Yaw = 168.891147
Roll = -2.127680, Pitch = -10.248756, Yaw = 168.891147
Roll = -2.215004, Pitch = -10.975372, Yaw = 169.077884
Roll = -2.215004, Pitch = -10.975372, Yaw = 169.077884
Roll = -2.384227, Pitch = -11.749441, Yaw = 169.262454
Roll = -2.384227, Pitch = -11.749441, Yaw = 169.262454
